,Annual Aggregate Family Income,zip code tabulation area
0,106789200,00601
1,271129800,00602
2,365923200,00603
3,26317900,00606
4,172526200,00610
5,554793700,00612
6,70534000,00616
7,139649500,00617
8,36620400,00622
9,281525600,00623
10,135180300,00624
11,257346600,00627
12,8286600,00631
13,143413700,00637
14,89933400,00638
15,175031500,00641
16,443168400,00646
17,27946400,00647
18,83107700,00650
19,24626600,00652
20,61359100,00653
21,124494800,00656
22,314944800,00659
23,138655300,00660
24,259346400,00662
25,102225400,00664
26,127875200,00667
27,146486900,00669
28,54430500,00670
29,333874400,00674
30,227434900,00676
31,97900800,00677
32,162358000,00678
33,354777800,00680
34,276724800,00682
35,220850100,00683
36,217264300,00685
37,170582700,00687
38,65130900,00688
39,46725900,00690
40,250355300,00692
41,399036000,00693
42,267900,00694
43,216505100,00698
44,156609600,00703
45,45147800,00704
46,168303100,00705
47,77145900,00707
48,114873300,00714
49,31300800,00715
50,274972600,00716
51,106325200,00717
52,176644300,00718
53,195889200,00719
54,105734400,00720
55,105963200,00723
56,775768900,00725
57,669732900,00727
58,295765300,00728
59,431515100,00729
60,284016100,00730
61,95100100,00731
62,91311300,00735
63,463452200,00736
64,268541000,00738
65,344753800,00739
66,8391700,00740
67,31244100,00741
68,433545200,00745
69,135503800,00751
70,307236500,00754
71,163986200,00757
72,43553800,00765
73,166008100,00766
74,222953500,00767
75,266260800,00769
76,250735700,00771
77,113129800,00772
78,149669700,00773
79,7642400,00775
80,292939800,00777
81,486258600,00778
82,152555100,00780
83,98862000,00782
84,220517500,00783
85,288957800,00784
86,2816000,00786
87,412545400,00791
88,160107400,00794
89,316319100,00795
90,79187500,00901
91,,00906
92,342648300,00907
93,34845400,00909
94,96564100,00911
95,40061600,00912
96,59061600,00913
97,138407200,00915
98,150002300,00917
99,223913600,00918
100,168071500,00920
101,285448200,00921
102,187437800,00923
103,425096300,00924
104,26552900,00925
105,1689884500,00926
106,335759300,00927
107,4620200,00934
108,,00936
109,744462100,00949
110,,00950
111,,00951
112,62547500,00952
113,754511900,00953
114,624442700,00956
115,414859500,00957
116,509259300,00959
117,,00960
118,379838900,00961
119,139144800,00962
120,43773500,00965
121,437056500,00966
122,79185400,00968
123,903440800,00969
124,289378300,00971
125,718129700,00976
126,254891500,00979
127,161031300,00982
128,444728200,00983
129,333394000,00985
130,660012500,00987
131,322259000,01001
132,541628400,01002
133,,01003
134,135154600,01005
135,388087300,01007
136,28203000,01008
137,13521500,01009
138,107653100,01010
139,31273000,01011
140,13535600,01012
141,296310000,01013
142,589943200,01020
143,49098500,01022
144,21228700,01026
145,406182800,01027
146,480492900,01028
147,16485100,01029
148,303740500,01030
149,33954600,01031
150,15011100,01032
151,145701500,01033
152,60337900,01034
153,134247900,01035
154,163720200,01036
155,17836500,01037
156,79119400,01038
157,42441300,01039
158,532846000,01040
159,54611500,01050
160,29295100,01053
161,54417200,01054
162,513439700,01056
163,198511300,01057
164,265656300,01060
165,319956600,01062
166,,01063
167,,01066
168,52152000,01068
169,190684500,01069
170,12837300,01070
171,38737800,01071
172,38049000,01072
173,182854500,01073
174,,01074
175,392379100,01075
176,284053500,01077
177,7768400,01079
178,24514900,01080
179,41572100,01081
180,218328300,01082
181,54900200,01083
182,5133100,01084
183,912848400,01085
184,,01086
185,4746700,01088
186,555097000,01089
187,28064100,01092
188,8539100,01093
189,6314000,01094
190,480185200,01095
191,57897800,01096
192,1072100,01097
193,27822200,01098
194,11118700,01103
195,269549600,01104
196,84967500,01105
197,730964600,01106
198,103344600,01107
199,322740000,01108
200,305879200,01109
201,283901300,01118
202,216659000,01119
203,63775500,01128
204,140298100,01129
205,96317400,01151
206,,01199
207,833252400,01201
208,160455000,01220
209,17235900,01222
210,58862900,01223
211,5872100,01224
212,67501700,01225
213,145269800,01226
214,1861700,01229
215,212261700,01230
216,69281400,01235
217,34379000,01236
218,69130900,01237
219,154173100,01238
