,total,disabled,zipcode
0,18420,4108,601
1,41295,11843,602
2,52343,12286,603
3,6591,579,606
4,28922,4214,610
5,67863,9421,612
6,10157,1290,616
7,24857,8675,617
8,6131,1027,622
9,44636,7050,623
10,25275,4513,624
11,34781,5594,627
12,1747,431,631
13,24937,5884,637
14,18729,2336,638
15,30382,6504,641
16,38240,6571,646
17,5640,1598,647
18,14958,4238,650
19,3443,509,652
20,13459,3485,653
21,21126,3874,656
22,41897,3883,659
23,16999,3820,660
24,43334,12112,662
25,16471,4659,664
26,25755,4450,667
27,28811,6832,669
28,9634,781,670
29,43528,8778,674
30,39730,8541,676
31,15089,4916,677
32,27205,7391,678
33,55375,11960,680
34,32475,6611,682
35,33401,3442,683
36,41859,11389,685
37,32596,9282,687
38,12141,1816,688
39,6299,1164,690
40,37040,7116,692
41,60085,12957,693
42,157,44,694
43,41017,9385,698
44,29062,6598,703
45,7799,1263,704
46,25333,7279,705
47,12064,2901,707
48,19431,4831,714
49,4315,1196,715
50,32023,5937,716
51,17882,3613,717
52,26711,3180,718
53,30751,6540,719
54,22976,7425,720
55,19017,4930,723
56,89907,18593,725
57,56775,11130,727
58,40392,7697,728
59,54725,9921,729
60,37783,8610,730
61,14499,3159,731
62,13490,1845,735
63,51527,16574,736
64,34270,7467,738
65,38544,10904,739
66,1760,301,740
67,5013,792,741
68,53675,12224,745
69,23352,5147,751
70,40203,8435,754
71,23208,5981,757
72,9206,898,765
73,25811,5920,766
74,37347,8987,767
75,39929,10820,769
76,38423,7020,771
77,21712,3720,772
78,19880,4448,773
79,1478,145,775
80,40836,7474,777
81,45978,9029,778
82,13388,2393,780
83,18502,4388,782
84,36409,6549,783
85,42339,9404,784
86,335,111,786
87,52281,6344,791
88,30631,5905,794
89,47437,10128,795
90,5522,1367,901
91,36,0,906
92,17479,3318,907
93,5869,949,909
94,7579,1422,911
95,6528,1033,912
96,8255,1373,913
97,31781,6531,915
98,20147,4579,917
99,16386,2515,918
100,18527,3926,920
101,37678,6917,921
102,28588,7204,923
103,57473,12657,924
104,6865,1436,925
105,106450,18077,926
106,15318,2661,927
107,175,0,934
108,53,0,936
109,81570,16804,949
110,0,0,950
111,16,0,951
112,9581,3057,952
113,73090,14559,953
114,76703,18586,956
115,46072,10806,957
116,48119,11092,959
117,18,18,960
118,30263,7375,961
119,21717,4003,962
120,8986,1812,965
121,16240,2306,966
122,3532,580,968
123,42650,5702,969
124,30273,5146,971
125,63034,10848,976
126,16224,2617,979
127,16198,4025,982
128,41525,8171,983
129,36351,7900,985
130,59102,11171,987
131,16643,2097,1001
132,29143,2009,1002
133,11032,93,1003
134,5300,595,1005
135,14673,1704,1007
136,1139,130,1008
137,716,248,1009
138,3635,418,1010
139,1404,149,1011
140,577,90,1012
141,21874,3662,1013
142,30385,5160,1020
143,2672,434,1022
144,1024,129,1026
145,17593,2442,1027
146,15471,1699,1028
147,596,126,1029
148,11310,1613,1030
149,1480,234,1031
150,570,42,1032
151,6157,564,1033
152,2163,184,1034
153,5069,512,1035
154,5041,537,1036
155,543,64,1037
156,2832,269,1038
157,1566,274,1039
158,39029,7912,1040
159,2548,437,1050
160,1631,262,1053
161,1759,214,1054
162,20324,2970,1056
163,8629,913,1057
164,14741,1583,1060
165,10619,1084,1062
166,644,1,1063
167,0,0,1066
168,1839,222,1068
169,8871,1740,1069
170,576,70,1070
171,1401,153,1071
172,1461,136,1072
173,5878,610,1073
174,56,8,1074
175,17631,1926,1075
176,9519,1133,1077
177,495,114,1079
178,2012,368,1080
179,1703,272,1081
180,10313,1386,1082
181,3127,634,1083
182,209,35,1084
183,40338,5537,1085
184,1219,0,1086
185,451,135,1088
186,28312,3731,1089
187,1080,82,1092
188,282,24,1093
189,340,127,1094
190,14135,1529,1095
191,2249,242,1096
192,83,19,1097
193,1072,121,1098
194,2514,888,1103
195,22833,4814,1104
196,12017,2659,1105
197,15816,1303,1106
198,11232,2524,1107
199,25708,4862,1108
200,31346,5555,1109
201,13618,2080,1118
202,13933,2232,1119
203,2468,373,1128
204,7451,696,1129
205,9134,2048,1151
206,0,0,1199
207,45034,7435,1201
208,8586,1534,1220
209,805,102,1222
210,2341,365,1223
211,322,0,1224
212,3059,411,1225
213,6865,850,1226
214,111,23,1229
215,7794,866,1230
216,3032,467,1235
217,1612,189,1236
218,2505,148,1237
219,6099,836,1238
220,4613,818,1240
221,155,27,1242
222,345,36,1243
223,141,32,1244
224,726,92,1245
225,15906,2875,1247
226,742,67,1253
227,994,115,1254
228,881,87,1255
229,675,65,1256
230,2183,299,1257
231,304,32,1258
232,613,73,1259
233,240,26,1260
234,1220,156,1262
235,167,23,1264
236,1433,202,1266
237,7696,817,1267
238,806,77,1270
239,17305,2736,1301
240,1537,165,1330
241,13211,2482,1331
242,2609,356,1337
243,169,20,1338
244,1597,208,1339
245,1784,234,1340
246,1605,179,1341
247,1506,91,1342
248,76,13,1343
249,1526,159,1344
250,448,74,1346
251,93,13,1347
252,844,115,1349
253,117,17,1350
254,2253,302,1351
255,1530,225,1354
256,990,105,1355
257,3022,417,1360
258,7960,1485,1364
259,1294,151,1366
260,590,71,1367
261,1161,123,1368
262,4068,540,1370
263,4441,409,1373
264,3654,212,1375
265,5395,1124,1376
266,639,92,1378
267,939,186,1379
268,39802,5404,1420
269,6113,628,1430
270,3114,297,1431
271,6995,782,1432
272,668,59,1434
273,3664,366,1436
274,359,133,1438
275,19275,3200,1440
276,10780,484,1450
277,4964,314,1451
278,4398,431,1452
279,40651,5086,1453
280,8914,772,1460
281,10498,1193,1462
282,11645,1114,1463
283,5633,593,1464
284,398,6,1467
285,3710,470,1468
286,7044,548,1469
287,7320,586,1473
288,1993,90,1474
289,10355,1413,1475
290,15970,1703,1501
291,2886,227,1503
292,9010,760,1504
293,4366,286,1505
294,3382,451,1506
295,12881,1027,1507
296,13567,1528,1510
297,2253,233,1515
298,8575,532,1516
299,2689,288,1518
300,6493,408,1519
301,14237,1100,1520
302,2442,203,1521
303,3136,272,1522
304,6295,411,1523
305,6908,729,1524
306,145,0,1525
307,13123,1481,1527
308,3186,368,1529
309,1051,94,1531
310,14399,1291,1532
311,5117,458,1534
312,4704,563,1535
313,6995,627,1536
314,2450,265,1537
315,11071,1128,1540
316,3424,140,1541
317,1693,150,1542
318,8050,939,1543
319,35493,2895,1545
320,16569,2591,1550
321,4475,362,1560
322,174,25,1561
323,11722,1467,1562
324,7758,629,1564
325,6617,606,1566
326,7411,615,1568
327,13537,1050,1569
328,16496,2505,1570
329,11445,1225,1571
330,18000,1392,1581
331,5887,575,1583
332,4506,526,1585
333,10227,1126,1588
334,8943,796,1590
335,23584,2613,1602
336,19206,2818,1603
337,34410,4344,1604
338,26643,4524,1605
339,19130,2057,1606
340,8925,1295,1607
341,3558,625,1608
342,20779,2512,1609
343,23743,3435,1610
344,2481,362,1611
345,4856,284,1612
346,30854,2992,1701
347,37126,4203,1702
348,343,14,1718
349,5048,204,1719
350,21689,1670,1720
351,16751,1453,1721
352,13243,1109,1730
353,1322,24,1731
354,4967,226,1740
355,4918,348,1741
356,16753,1337,1742
357,305,28,1745
358,13786,849,1746
359,5867,594,1747
360,15178,818,1748
361,19263,2047,1749
362,38528,3431,1752
363,10211,1172,1754
364,5808,434,1756
365,28067,2689,1757
366,32953,2745,1760
367,4169,125,1770
368,9490,436,1772
369,4822,314,1773
370,6727,360,1775
371,17695,1052,1776
372,13225,967,1778
373,38815,4240,1801
374,24630,2360,1803
375,33540,2310,1810
376,30546,3006,1821
377,24559,2364,1824
378,29968,3434,1826
379,3255,169,1827
380,25141,4075,1830
381,21996,2815,1832
382,8295,545,1833
383,6675,596,1834
384,13513,1281,1835
385,4537,1213,1840
386,47060,7210,1841
387,24564,3710,1843
388,47382,5090,1844
389,28386,2225,1845
390,15349,2030,1850
391,29640,3418,1851
392,32991,4529,1852
393,28344,4007,1854
394,6417,669,1860
395,10147,849,1862
396,9481,676,1863
397,14977,1023,1864
398,24376,1776,1867
399,28380,2716,1876
400,11675,1195,1879
401,24873,2104,1880
402,22401,1268,1886
403,22406,1971,1887
404,21415,1194,1890
405,2023,528,1901
406,44540,6581,1902
407,18773,2269,1904
408,25042,2654,1905
409,26885,3493,1906
410,13812,1263,1907
411,3372,374,1908
412,16137,1549,1913
413,39504,4110,1915
414,8040,387,1921
415,3012,331,1922
416,26277,2378,1923
417,3546,280,1929
418,28786,3369,1930
419,89,89,1937
420,13288,1147,1938
421,12299,953,1940
422,5178,254,1944
423,19845,1557,1945
424,7420,764,1949
425,17301,1547,1950
426,3683,301,1951
427,8377,1064,1952
428,50802,7508,1960
429,6971,700,1966
430,5874,631,1969
431,41683,5700,1970
432,7989,541,1982
433,6099,590,1983
434,4964,455,1984
435,4305,391,1985
436,16433,1538,2019
437,21436,2189,2021
438,7875,417,2025
439,23909,2644,2026
440,5677,284,2030
441,3884,337,2032
442,16952,1637,2035
443,31971,2357,2038
444,22105,1940,2043
445,10301,1352,2045
446,111,97,2047
447,23280,1758,2048
448,25636,2257,2050
449,12073,693,2052
450,12755,961,2053
451,7916,756,2054
452,9183,460,2056
453,10369,798,2061
454,28293,3104,2062
455,17575,1222,2066
456,17532,1434,2067
457,1096,59,2071
458,27141,3249,2072
459,18757,1708,2081
460,14685,987,2090
461,10871,844,2093
462,4062,338,2108
463,4055,378,2109
464,1752,240,2110
465,7766,857,2111
466,6843,408,2113
467,11375,708,2114
468,28852,2724,2115
469,21736,1262,2116
470,26297,3358,2118
471,24636,4300,2119
472,14047,1581,2120
473,27053,5503,2121
474,24229,3945,2122
475,51271,7998,2124
476,34108,3999,2125
477,27780,4319,2126
478,33460,3172,2127
479,43483,5448,2128
480,17332,1643,2129
481,36628,3547,2130
482,30427,3859,2131
483,27074,2754,2132
484,18899,1805,2134
485,36667,3810,2135
486,29069,3041,2136
487,35297,1790,2138
488,35903,2868,2139
489,18050,1543,2140
490,12979,1475,2141
491,2733,49,2142
492,25959,1898,2143
493,23835,1790,2144
494,24588,2446,2145
495,59647,5963,2148
496,41893,5594,2149
497,35783,3994,2150
498,52269,7760,2151
499,17715,2058,2152
500,58385,5121,2155
501,2100,40,2163
502,54711,6313,2169
503,19765,1847,2170
504,17638,1781,2171
505,26980,2269,2176
506,21253,2190,2180
507,35519,3894,2184
508,26942,2391,2186
509,14392,1836,2188
510,14455,1794,2189
511,16691,1734,2190
512,8369,1100,2191
513,1273,99,2199
514,0,0,2203
515,1763,100,2210
516,24149,1130,2215
517,58103,8807,2301
518,34664,5711,2302
519,4400,544,2322
520,24183,1957,2324
521,11469,1307,2330
522,15015,979,2332
523,13745,1418,2333
524,7532,880,2338
525,13894,1357,2339
526,10248,780,2341
527,10641,1415,2343
528,22773,2261,2346
529,10711,1048,2347
530,15899,1720,2351
531,12464,798,2356
532,959,9,2357
533,17804,1582,2359
534,54932,5399,2360
535,12522,1450,2364
536,0,0,2366
537,2834,217,2367
538,32665,5064,2368
539,17370,2459,2370
540,9833,923,2375
541,6789,893,2379
542,14555,1622,2382
543,13784,886,2420
544,17697,1247,2421
545,20838,1352,2445
546,28613,2226,2446
547,17268,1939,2451
548,14849,1080,2452
549,28862,2381,2453
550,1343,110,2457
551,11556,1278,2458
552,18339,1300,2459
553,9025,604,2460
554,6808,574,2461
555,1328,202,2462
556,2862,103,2464
557,11560,766,2465
558,9048,720,2466
559,22883,1327,2467
560,5168,270,2468
561,32398,2531,2472
562,26605,2101,2474
563,16520,1267,2476
564,24632,1623,2478
565,16122,894,2481
566,10820,746,2482
567,19916,1299,2492
568,11414,633,2493
569,8875,789,2494
570,11310,1319,2532
571,1247,166,2534
572,1276,121,2535
573,19386,2243,2536
574,6146,387,2537
575,3239,394,2538
576,4102,468,2539
577,8209,1587,2540
578,735,35,2542
579,720,19,2543
580,210,0,2553
581,9803,843,2554
582,2770,462,2556
583,4507,385,2557
584,1489,212,2558
585,4046,529,2559
586,468,25,2561
587,3319,352,2562
588,9427,939,2563
589,381,0,2564
590,3980,282,2568
591,10262,1436,2571
592,2628,131,2575
593,4888,642,2576
594,0,0,2584
595,13415,2210,2601
596,2056,186,2630
597,9255,926,2631
598,11501,1269,2632
599,3834,563,2633
600,3355,338,2635
601,84,0,2637
602,3355,559,2638
603,3127,606,2639
604,355,13,2641
605,4882,694,2642
606,17,8,2643
607,4458,225,2644
608,9344,1208,2645
609,1946,331,2646
610,129,60,2647
611,6882,485,2648
