,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
0,,,,,,,1141,625,449,0,53,396,176,96,0,46,50,80,0,0,80,516,480,0,22,458,36,18,0,0,18,18,0,0,18,00601
1,,,,,,,2568,1344,1035,50,200,785,309,118,0,62,56,191,15,58,118,1224,1117,35,275,807,107,72,0,0,72,35,0,15,20,00602
2,,,,,,,3159,1571,1371,58,115,1198,200,106,24,44,38,94,10,0,84,1588,1332,92,96,1144,256,176,9,9,158,80,0,7,73,00603
3,,,,,,,363,196,160,11,0,149,36,26,0,0,26,10,0,0,10,167,153,0,0,153,14,0,0,0,0,14,0,0,14,00606
4,,,,,,,1812,891,628,20,28,580,263,142,0,0,142,121,23,33,65,921,758,35,0,723,163,148,11,0,137,15,0,0,15,00610
5,,,,,,,4179,2162,1705,33,64,1608,457,242,42,83,117,215,0,52,163,2017,1777,25,116,1636,240,136,16,14,106,104,0,0,104,00612
6,,,,,,,659,349,272,0,16,256,77,63,34,10,19,14,0,0,14,310,279,38,0,241,31,31,0,0,31,0,0,0,0,00616
7,,,,,,,1387,681,450,22,0,428,231,105,24,16,65,126,0,27,99,706,593,0,0,593,113,91,16,16,59,22,0,0,22,00617
8,,,,,,,469,235,179,0,0,179,56,40,0,0,40,16,0,0,16,234,186,0,12,174,48,20,20,0,0,28,0,0,28,00622
9,,,,,,,2402,1229,1018,11,80,927,211,120,63,0,57,91,16,13,62,1173,923,0,63,860,250,112,0,22,90,138,0,14,124,00623
10,,,,,,,1581,792,587,9,13,565,205,144,12,39,93,61,28,0,33,789,639,49,5,585,150,105,0,32,73,45,0,17,28,00624
11,,,,,,,2206,1141,907,36,71,800,234,226,71,59,96,8,8,0,0,1065,987,39,75,873,78,68,0,0,68,10,0,0,10,00627
12,,,,,,,87,55,40,0,0,40,15,0,0,0,0,15,0,15,0,32,23,0,0,23,9,9,0,0,9,0,0,0,0,00631
13,,,,,,,1636,838,690,6,26,658,148,61,0,0,61,87,0,16,71,798,682,0,17,665,116,58,35,17,6,58,0,0,58,00637
14,,,,,,,1247,615,438,0,0,438,177,57,7,0,50,120,11,0,109,632,530,21,11,498,102,58,0,0,58,44,0,0,44,00638
15,,,,,,,2008,1097,887,17,89,781,210,138,20,46,72,72,0,49,23,911,762,14,73,675,149,93,16,32,45,56,0,0,56,00641
16,,,,,,,2287,1094,950,30,14,906,144,144,29,35,80,0,0,0,0,1193,1067,24,35,1008,126,98,13,36,49,28,0,0,28,00646
17,,,,,,,366,220,179,22,0,157,41,8,8,0,0,33,0,0,33,146,115,0,0,115,31,23,0,0,23,8,0,0,8,00647
18,,,,,,,974,458,366,0,24,342,92,26,13,0,13,66,0,16,50,516,424,0,39,385,92,33,0,20,13,59,0,0,59,00650
19,,,,,,,215,101,44,0,6,38,57,39,0,0,39,18,0,0,18,114,99,0,0,99,15,15,0,0,15,0,0,0,0,00652
