CustZip,visitorzip_lat,visitorzip_lon,per_family_annual_income,non_hs_educated,PopulationRaceWhite,Dist_to_park,util_days,disabled_percent,MedianAge
1001,42.065842,-72.620948,44665.14207,0.085286301,0.916333711,34.94710467,0.078239609,0.125998918,45.5
1002,42.372901,-72.450902,54654.73259,0.043593336,0.738028848,26.6362889,0.152053427,0.068935937,24
1005,42.420844,-72.10623,70984.55882,0.083924015,0.95136838,27.2059413,0.156526875,0.112264151,41
1007,42.274798,-72.401922,69363.23503,0.065672526,0.921837668,34.8621033,0.226841423,0.11613167,41.1
1008,42.186964,-72.956111,56069.58251,0.049043062,0.973079968,20.131296,0.087885986,0.114135206,45.8
1009,42.2075,-72.3496,42925.39683,0.231464738,0.955465587,26.75534348,0.097165992,0.346368715,39.5
1010,42.126637,-72.204617,75334.56963,0.083426029,0.948462178,12.05141954,0.270157938,0.114993122,44.6
1011,42.268566,-72.980845,55844.64286,0.093137255,0.976642336,10.6200085,0.060583942,0.106125356,45.6
1012,42.365393,-72.819914,47828.97527,0.019184652,0.965204236,5.49063851,2.505295008,0.155979203,47.4
1013,42.160827,-72.603375,30936.52119,0.211874434,0.725677074,27.15284613,0.137959289,0.167413367,36.4
1020,42.17762,-72.562566,45137.19969,0.149252407,0.853276257,28.16227923,0.16586895,0.169820635,43.1
1022,42.195565,-72.542478,44879.7989,0.094329624,0.736434109,28.25188611,0.028151775,0.16242515,37.4
1026,42.441033,-72.915573,49140.50926,0.037688442,0.967230444,15.52683712,2.516913319,0.125976563,47.7
1027,42.292895,-72.717599,51762.81381,0.07749683,0.919309173,16.01194475,0.442638732,0.138805207,43.4
1028,42.06166,-72.498771,82121.5006,0.053354747,0.929516539,34.82320593,0.062849873,0.10981837,45
1029,42.192033,-73.045339,47782.89855,0.066666667,0.970849176,23.63529119,0.147021546,0.211409396,48.7
1030,42.070474,-72.675174,68271.63408,0.072781655,0.935898535,32.78209914,0.153654983,0.142617153,42.9
1031,42.3611,-72.20382,65171.97697,0.134413727,0.954892966,29.95611492,0.02675841,0.158108108,40.1
1032,42.454455,-72.826714,63877.02128,0.038297872,0.970175439,12.15682054,0.210526316,0.073684211,46.1
1033,42.257915,-72.505683,61529.34966,0.079299014,0.951983299,26.15729849,0.117392003,0.091603053,43.4
1034,42.092408,-72.949682,75992.31738,0.056393443,0.958436418,30.7718801,0.124690747,0.085067037,46
1035,42.356251,-72.585014,63715.18747,0.053183329,0.894285714,21.55763386,0.155047619,0.101006116,45.7
1036,42.072956,-72.416626,86762.16216,0.060426221,0.954785672,27.81555585,0.107457428,0.106526483,47.1
1037,42.378705,-72.192186,77550,0.045652174,0.95823389,32.42491877,0.085918854,0.11786372,33.1
1038,42.3863,-72.60588,70453.60641,0.035344015,0.967387033,18.90165214,0.05697446,0.094985876,47.7
1039,42.411178,-72.688894,69575.90164,0.062600321,0.961077844,12.74508763,0.178892216,0.174968072,48.3
1040,42.222692,-72.640474,34688.23644,0.25812524,0.467678034,23.3081046,0.048721163,0.202721054,35
1050,42.270928,-72.903169,54720.94188,0.057142857,0.959683794,11.53169619,0.059683794,0.171507064,42.9
1053,42.352158,-72.715494,48825.16667,0.153642384,0.908011869,11.54805447,0.335311573,0.160637646,52.1
1054,42.475356,-72.487555,71413.64829,0.060015004,0.913019989,28.96884514,0.678011885,0.121660034,48.7
1056,42.192007,-72.45872,63544.51733,0.162503952,0.898592617,34.07478245,0.163626025,0.146132651,42.6
1057,42.095536,-72.312918,60045.76528,0.085645161,0.955237872,19.70883294,0.230841341,0.105806003,43.2
1060,42.329604,-72.625124,39170.79033,0.055628603,0.822494111,16.60909314,0.361619995,0.107387559,35.1
1062,42.330067,-72.692655,69299.67511,0.083109233,0.865112108,13.28505996,0.610493274,0.102081175,45
1068,42.353309,-72.051399,76134.30657,0.062597809,0.956361725,28.12526271,0.107255521,0.120717781,43.7
1069,42.192062,-72.307682,54187.12702,0.111566988,0.943322706,23.07101008,0.167079939,0.196144741,43.5
1070,42.519603,-72.925186,49374.23077,0.077922078,0.950715421,19.86443682,0.060413355,0.121527778,48.2
1071,42.169224,-72.854502,64887.43719,0.049085659,0.961152882,17.82926096,0.682330827,0.109207709,42.2
1072,42.463022,-72.419998,63309.48419,0.036178108,0.900541272,24.71247726,1.305818674,0.093086927,44.7
1073,42.230586,-72.741034,81304.80213,0.053097345,0.965642265,16.63576393,0.143473757,0.103776795,44.7
1075,42.258591,-72.575936,57711.29578,0.075116575,0.874137046,23.71684452,0.150339476,0.109239408,40.6
