park,agency,park_zip,park_lat,park_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
ACKER ROCK LOOKOUT,USFS,97484,43.0523056,-122.6456111,2,2,4,39,172,182,1,2,2,160.6,269.8,278.3,178,350,992
ACKERMAN CAMPGROUND,USFS,   NaN,40.7855556,-122.7716667,2,4,5,6.2,17,37.8,2,3,3,112.4,301,365.7,323,906,3665
ACORN CAMPGROUND,USACE,95252,38.1762611,-120.7997222,3,5,8,0,7,55,2,2,3,50.3,82.1,127.4,29507,72248,384469
ACORN VALLEY,USACE,50131,41.7377778,-93.7236111,2,4,5,0,0,9,1,2,3,13.1,20.6,113,9119,22887,79626
ADAMS RANGER STATION,USFS,   NaN,45.7675,-115.9516667,2,4,6,18,53,123.5,2,2,3,54.8,129.4,235.2,192,562,2741
ADELAIDE CAMPGROUND,USFS,   NaN,38.7583333,-112.3666667,25,48,48,95.2,148,213.8,2,3,3,126.5,201.4,311.1,119,351,14352
ADMIRALTY COVE CABIN,USFS,99801,58.1763778,-134.5618639,2,4,4,10,51,145,1,2,3,32,32,32,441,1031,3697
AGNEW HORSE CAMP,USFS,94301,37.6861111,-119.0936111,2,3,4,7,28,90,2,4,4.5,218.1,365.5,438.5,68,242,838
AGNEW MEADOWS GROUP CAMP,USFS,94301,37.6822222,-119.0894444,8,10,15,31.8,100,168.5,1,2,3,283,413.8,461.3,281,709,8950
AIRPORT BEACH SHELTER,USACE,76708,31.6068056,-97.2336667,51,80,109.2,17.5,37,77.2,NaN,NaN,NaN,8.8,17.2,30,169,0,0
AIRPORT PARK,USACE,76708,31.6102083,-97.2365889,1,2,5,0,6,31,2,2,3,11.4,20,102.3,18588,55402,202140
AKERS,NPS,63965,37.3830556,-91.5694444,15,20,30,22,48.5,99,2,2,2,169.9,193.8,320.9,470,972,23622
AL TAYLOR CABIN,USFS,83420,44.4636944,-112.0258833,6,6,6,12,33,84.3,2,2,3,105.8,178,365.3,85,218,1228
ALAVA BAY CABIN,USFS,   NaN,55.2232139,-131.1551306,2,4,4,2,10,48.8,1,2,2,42.9,42.9,1022.6,199,389,1380
ALBENI COVE,USACE,   NaN,48.1830556,-116.9997222,2,4,6,0,0,12,1,2,3,46.4,62,70.9,2384,5713,26006
ALBERT MOSER,USFS,83254,42.1386111,-111.6947222,4,7,8,8,20,44,2,2,3,38.2,108.4,139.9,573,1493,11196
ALBION BASIN,USFS,   NaN,40.5763889,-111.6111111,4,5,8,15,72.5,158,1,2,2,18.4,27.7,32.5,2302,3959,25117
ALDER DUNE,USFS,   NaN,44.0691667,-124.1019444,2,4,5,7,14,31,2,2,3,87.3,187.3,249.9,1680,4110,16722
ALDER GUARD STATION,USFS,81132,37.7044444,-106.6466667,2,4,5,25.8,85,161,2,3,4,241.8,289,1094,245,739,3267
ALEXANDER SPRINGS REC AREA,USFS,   NaN,29.0788889,-81.58,3,4,5,9,21,42,2,2,3,62.2,125.4,234.1,12940,32267,123087
ALLAN POINT CABIN,USFS,   NaN,57.2427778,-135.3977778,4,6,10,11,39.5,102,1,2,2,18.2,18.2,18.2,778,1592,10686
ALLEN SPRINGS CAMPGROUND,USFS,   NaN,44.5280306,-121.6273389,2,3,4,10,22,37.5,2,2,3,120.7,132.8,143.4,173,471,1576
ALLEY CREEK CAMP,USACE,   NaN,32.7994444,-94.5919444,1,2,3,0,5,34,2,3,5,30.9,43.6,81.2,10644,41111,128279
ALLEY SPRING,NPS,63965,37.1472222,-91.4497222,3,5,6,18,46,124,2,3,3,154.7,187.5,273.1,8524,24118,133730
ALLRED FLATS GROUP PICNIC SITE,USFS,83110,42.4883333,-110.9619444,25,50,50,28,110,167.2,NaN,NaN,NaN,24.2,76,178.3,39,0,0
ALMANOR,USFS,   NaN,40.2169444,-121.1677778,2,4,8,15,38,98,2,3,4,106.5,172.4,272.7,2519,7912,57624
ALPINE NORTH LOOP,USFS,   NaN,43.1963889,-111.0411111,4,8,16,18,53,135,1,2,3,235.7,284.7,382.6,1644,4002,50437
ALPINE RIDGE,USACE,   NaN,34.2586111,-93.2283333,1,2,4,0,0,14,2,4,8,31.1,65.2,93.2,4451,25112,69521
ALPINE VIEW CAMPGROUND,USFS,   NaN,40.8870639,-122.7658139,2,4,6,8,18,42,2,2,4,268.6,339.8,395.6,407,1250,5897
ALSEK RIVER CABIN,USFS,99689,59.2016667,-138.4511111,3,4,4,12.8,72,173.3,2,5,7,261.1,263.5,783,53,255,874
ALTA CAMPGROUND,USFS,59829,45.6238889,-114.3019444,2,3,4,7,15,46,2,3,4,84.2,129.6,316.9,350,1096,3607
ALTAMONT,USFS,   NaN,40.435,-111.6338889,50,82.5,100,154,297,362,1,2,3,20.8,24.4,38.4,238,477,34678
ALTURAS LAKE INLET,USFS,   NaN,43.9,-114.8830556,3,5,8,27,96,177,2,3,4,110.8,133.4,246.6,2427,7489,48742
ALTURAS LAKE PICNIC AREA (ID),USFS,   NaN,43.9257167,-114.8507806,50,50,50,22.5,113,162,NaN,NaN,NaN,60.3,75.1,104.2,24,0,0
ALUM CREEK BELOW DAM AREA,USACE,   NaN,40.1772222,-82.9566667,50,67.5,100,32,65,123,1,1,1,7.1,14,24.4,860,17,1581
ALVARADO CAMPGROUND,USFS,91355,38.0788889,-105.5633333,2,3,5,9,21,58,2,3,3,109.5,175.7,215.9,2134,5985,21775
AMANITA,USFS,   NaN,44.7019444,-116.1313889,3,4,8,18,56,144.8,2,2,3,116.2,119.8,127.7,971,2613,13335
AMERICAN RIDGE LODGE,USFS,   NaN,46.9738889,-121.1711111,15,20,31,57,130,181,2,2,3,79.3,107.5,124,374,1034,27615
AMERICAN RIVER GUARD STATION,USFS,   NaN,46.9777778,-121.1655556,2,4,6,35,99,168,2,2,3,92.4,118.3,174.1,883,2220,10366
AMITY,USACE,31833,32.9708333,-85.2222222,1,3,5,0,0,21,2,3,4,25.8,56.1,89.6,13642,48888,170515
AMITY RECREATION AREA,USACE,   NaN,33.6461111,-82.4719444,37,50,80.8,12,28,64.8,1,1,1,16.8,16.8,37.8,207,2,140
AMPHITHEATER (CO),USFS,   NaN,38.0225,-107.6616667,2,3,4,20,60,134,2,2,4,266.4,305.2,979.7,4205,11808,42834
ANACAPA ISLAND,NPS,93001,34.0141917,-119.3677889,2,3,4,6,18,43,1,1,2,85.4,115.5,246,2105,2867,9596
ANAN BAY CABIN,USFS,   NaN,56.1866667,-131.8863889,2,3,4,16.5,141,181,1,2,3,79.7,1171.3,2514.7,221,593,2020
ANAN LAKE CABIN,USFS,   NaN,56.1247222,-131.8836111,2,2,4,0,12,110.8,1,2,5.5,1145.8,1779.1,2299.6,17,54,136
