visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
501,40.8154,-73.0456,8,8,8,-14,-14,-14,1,1,1,4232.92,4232.92,4232.92,1,1,8
544,40.8154,-73.0456,2,2,2,95,95,95,7,7,7,1778.42,1778.42,1778.42,1,7,14
601,18.196747,-66.736735,1.75,2,2,0,0,0.2,1.8,2,4.2,2786.74,2786.74,2786.74,5,14,27
602,18.352927,-67.177532,2,2,2.25,60.5,84,89,2,2,2.2,4798.34,5397.51,5563.28,5,11,25
603,18.458585,-67.129867,3,3,3,26,26,26,1,1,1,4291.89,4291.89,4291.89,1,1,3
604,18.488773,-67.147741,1,1,1,0,0,0,1,1,1,5492.42,5492.42,5492.42,1,1,1
611,18.2856,-66.9698,6,6,6,148,148,148,2,2,2,2812.58,2812.58,2812.58,1,2,12
612,18.388009,-66.665279,2,2,2,3,14,25,2,2.5,3,3418.09,4136.81,4855.53,2,5,10
613,18.4744,-66.7163, NaN, NaN, NaN,2,2,2,NaN,NaN,NaN,5528.12,5528.12,5528.12,1,0,0
627,18.425195,-66.867756,1,1,1,6,6,6,2,2,2,2650.87,2650.87,2650.87,1,2,2
631,18.224554,-66.867756,4,4,4,181,181,181,3,3,3,3363.35,3363.35,3363.35,1,3,12
646,18.459098,-66.272418,2,4,5,20.25,27,79,1,1,2.2,4095.44,4885.96,5135.32,7,8,33
660,18.138245,-67.111993,1.25,2,2.75,7.5,30,30,2.2,3,3,3572.16,3572.16,3584.9,3,8,15
662,18.45613,-67.02263,2,2,2,40,40,40,2,2,2,2868.91,2868.91,2868.91,1,2,4
664,18.210309,-66.581923,6,6,6,0,0,0,2,2,2,3605.1,3605.1,3605.1,1,2,12
667,18.010034,-67.02263,1,1,1.75,0,0,18.8,1,1,1,4872.9,4950.35,4950.35,3,3,4
680,18.210009,-67.106035,4,4,4,39,39,39,2,2,2,5519.92,5519.92,5519.92,1,2,8
681,18.1211,-67.0824,1,1,1,4,4,4,4,4,4,4835,4835,4835,1,4,4
682,18.220812,-67.147741,1.25,2,3.5,0.75,3,12.8,1,1,2.5,3275.2,4417.25,4448.09,3,5,11
683,18.099194,-67.02263,4,4,4,121,121,121,3,3,3,5444.77,5444.77,5444.77,1,3,12
705,18.135403,-66.260518,2,2,2,15,15,15,3,3,3,5523.75,5523.75,5523.75,1,3,6
716,17.987655,-66.6236,7,7,7,0,0,0,3,3,3,3117.03,3117.03,3117.03,1,3,21
720,18.20454,-66.450958,5,5,5,93,93,93,5,5,5,3183.42,3183.42,3183.42,1,5,25
721,18.3018,-66.08,1,1,1,35,35,35,2,2,2,2890.7,2890.7,2890.7,1,2,2
725,18.205646,-66.034458,3.5,8,8,10.5,33,39,1.2,2,2.8,3177.79,5050.03,5463.73,3,6,42
726,18.2364,-66.0489,3,3,3,0,0,0,1,1,1,3698.97,3698.97,3698.97,1,1,3
729,18.341924,-65.891738,2,2,3,0,0,0,2,2.5,3,3341.22,3341.22,3341.22,6,17,49
730,18.032129,-66.6236,5,6,6,29.5,78,131.5,1,1.5,3,4830.68,4953.5,5289.17,4,8,40
731,18.095571,-66.641462, NaN, NaN, NaN,0,12.5,25,NaN,NaN,NaN,3987.79,3987.79,3987.79,2,0,0
732,18.0133,-66.6146,4,4,4,34,36,38,1,2.5,4,2547.07,2555.17,2563.27,2,5,20
737,18.1138,-66.1667,1,1,1,0,0,0,2,2,2,3755.56,3755.56,3755.56,1,2,2
738,18.30999,-65.653972, NaN, NaN, NaN,2,2,2,NaN,NaN,NaN,5631.23,5631.23,5631.23,2,0,0
740,18.338024,-65.593093,6,6,6,2,2,2,1,1,1,3496.57,3496.57,3496.57,1,1,6
741,18.16462,-65.766894,1,1,1,0,0,0,2,2,2,3469.49,3469.49,3469.49,1,2,2
742,18.2666,-65.6482,3,3,3,27,27,27,4,4,4,2897.64,2897.64,2897.64,1,4,12
745,18.34505,-65.832284,5,5,5.75,4.5,18,20.2,2,2,2,5056.68,5058.82,5495.75,3,6,32
754,18.142369,-65.974986,4,4,4,0,0,0,1,1,1,4931.47,4931.47,4931.47,1,1,4
765,18.126285,-65.440098,2,2,4.25,0,3,16.8,1,1,2,3531.2,4979.77,5497.41,7,11,31
766,18.13,-66.474329,5,5,5,12,12,12,2,2,2,3430.41,3430.41,3430.41,1,2,10
767,18.068802,-65.903106, NaN, NaN, NaN,0,0,0,NaN,NaN,NaN,5051.53,5051.53,5051.53,1,0,0
769,18.096036,-66.351012,5,6,6,48,58,102,2,2.5,3,2591.54,2591.54,2591.54,6,15,84
773,18.338815,-65.720102,1,2,2.25,0,0,2,1,2,2.2,2460,2832.18,3775.69,5,9,18
775,18.313697,-65.294233,2,2,2.25,1,5,35,2,3,5,3562.57,3562.57,3562.57,49,221,485
784,18.018004,-66.133308,2,2,2,44,44,44,2,2,2,4925.06,4925.06,4925.06,1,2,4
786,18.1564,-66.2336,5,5.5,6,0,0,0,2,2,2,3457,3461.96,3466.91,2,4,22
791,18.138009,-65.818996, NaN, NaN, NaN,2,2,2,NaN,NaN,NaN,5627.5,5627.5,5627.5,1,0,0
795,18.017302,-66.493329,6,6,6,0,0,0,1,1,1,3445.69,3445.69,3445.69,1,1,6
801,18.3436,-64.9314,1,1,1,-1,-1,-1,2,2,2,6025.67,6025.67,6025.67,1,2,2
802,18.3436,-64.9322,2,3,7.5,0.5,4,60.5,1,2.5,4,2907.34,5009.97,5111.17,40,138,909
803,18.3436,-64.9314,1,1.5,2.5,0,5,135.5,1,1,1,2656.45,5010.04,6274.89,9,4,7
804,18.3436,-64.9314,2,2,2,43.5,74,121.2,1.8,2,3,5391.41,5679.28,5679.28,5,11,22
805,18.3436,-64.9314,3,3,3,0,0.5,1,2,2,2,2420.86,3403.98,4387.11,2,4,12
820,17.745384,-64.703369,4,4,4,5,17.5,70,3,3,4,3885.73,3885.73,3885.73,6,22,67
